基本信息,简历名称怎么写最好,建议格式“简历_姓名_岗位名称_公司名称”，比如“简历_陈晓青_战投分析师_金沙江创投”，英文简历名称格式，比如"Resume_Xiaoqing Chen_Strategic Investment Analyst_Jinshajiang"
基本信息,没写英名文字要新取一个嘛,如果要投递非中国地区的岗位，或者中国地区的外资企业，需要英文版本简历，建议取一个英文名字，沟通起来会更加方便，但不是必须的
基本信息,如何填写邮箱,建议使用hotmail、outlook邮箱，作为工作邮箱，邮箱名字，正式一点的，比如 xiaoqing.career@hotmail.com，或者xiaoqing2017@outlook.com；QQ等邮箱作为日常生活的个人邮箱
基本信息,电话号码一定要写嘛,电话号码，一定要写，而且要写手机号，用人单位，一般会用电话、短信、邮件，与意向候选人初步联系，或者更新招聘流程进展；如果投递非中国地区的岗位，一定要使用改国家（地区）的手机号
基本信息,是否需要写身高、体重、年龄、婚姻状况,除非用人单位，明确要求（非常少见），或者是特定的岗位，比如模特、运动员等等，一般不需要写明身高、体重、年龄、婚姻等信息
基本信息,简历上应该写地址嘛,简历上需要写地址，一般来说，具体到城市，或者小区，就可以了，不需要具体到街道、楼栋、门牌号；用人单位，一般倾向于，招聘同一城市的候选人，因为外地的候选人，因为搬家，可能给工作岗位带来一定的不稳定性
基本信息,政治面貌如何填写,如果是报考公务员等，政府、机关单位相关的岗位，可能需要写明政治面貌；除此之外，一般来说，简历上不需要写明
基本信息,简历上要写身份证号码码？,身份证号，需要非常重要的个人信息，不要写在简历上；一般进行背景调查，或者入职之后，可能需要这类个人信息，进行核对身份；在招聘过程中，对索要身份证信息、银行账户信息的情况，要谨防欺诈
,,
,,
教育背景,GPA一定要写嘛,一般来说，简历的目的，是拿到面试，尽量展示自身资质中的亮点，如果GPA比较高，比如3.5/4，从侧面说明，学习能力比较好，作为亮点，可以写在简历上，如果GPA低于2.0/4，不建议写
教育背景,成绩是百分比怎么写比较好,建议改成 GPA 的格式，可以参考 College Board 的网站 How to Convert Your GPA to a 4.0 Scale，如果是英国成绩的话，直接写 AVG 或者 平均成绩，有 Merit 或者 Distinction 也可以不写成绩，直接写 优等学位 Merit 或 一等成绩 Distinction。
教育背景,如果还没毕业，教育经历的结束时间应该怎么写？,可以写预计毕业时间，比如“09/2016-06/2020 （预期）“
教育背景,学校在小城市，在简历上怎么写?,如实写明城市即可，很多”小城市“里面，藏着”大学校“，比如剑桥很小，剑桥大学是世界顶级学府
教育背景,高中教育经历需要写吗？,如果有大学的教育背景，无论是找实习，还是找全职工作，建议写大学及以上的教育背景；如果没有大学教育背景，或者高中在读，可以写高中的教育背景
教育背景,哪些相关课程值得写？,一般来说，简历因为空间有限，HR阅读简历不超过10秒，所以简历只写最相关信息；大学的专业，基本指明了候选人的课程，所以通常不需要再写上过的课程，除非非常特殊的专业
教育背景,上学时如果有过交流经验要不要写？,如果是与所投岗位相关的经历，或者非常知名的单位、学校的交流经历，是可以写的，要写出自己的所学、所得，以及成就
教育背景,哪些荣誉奖项值得写？,国际性、国家高水平，或者含金量很高的专业奖项，比如”国家奖学金“，”数学建模竞赛“一等奖，ACM 国际编程大赛特等奖；同样也看岗位的要求，比如是销售岗，那么辩论赛、演讲赛的奖项，就是加分项
教育背景,培训经历可以写在教育经历中吗？,认可度高的培训经历，比如Cousera、Udemy在国外的认可度，就比较高，可以写在简历上
,,
,,
工作/实习经历,公司不知名需要写公司介绍吗？,如果和求职岗位的行业有关联可以用一个bulletin point一笔带过
工作/实习经历,项目制的工作经历应该怎么写？,跟正常工作经历的bullet point一样但是要尽量数据化，量化，包括任何奖项或者研究成果
工作/实习经历,非项目制的工作经历怎么写？,工作经历拿bullet point方式量化，取重点，包含岗位关键词和技术用于去形容，每个point不要多余一到两行字
工作/实习经历,有一段时间没工作应该怎么写？,如果入学了，会在学习经历中表述，如果提升其他技能了可以在技能区域表述，其他不需要表述
工作/实习经历,如果某一段工作经历时间太短怎么写？,一个月以上的工作经历都可以写，需要重点强调技术词汇因为可能时间不够所以做出的成果不多
工作/实习经历,如果不方便透露客户名或项目细节怎么办？,不写客户／项目信息可以写客户／项目笼统的背景，比如四大的客户或者有10年房地产经验的客户或者30万＋CAD 第项目，或者第一个海外融资项目
工作/实习经历,工作经历与申请职位无关需要填写吗？,如果经验丰富的话有一些无关经验可以省略，如果经验不是很丰富，无关但是公司比较好或者比较职业性的工作还是要写出来的，尽量把只为写的和申请岗位贴合一些
工作/实习经历,我的工作很难数据化怎么办？,很难数据化的工作可以1）利用approximation／估算；“保守估算提升了30%的成功率” 2）可以专注于形容成功结果和 案例 3）可以着重使用技术单词或者岗位关键词
工作/实习经历,实习经历应该写在工作经历内还是在其他部分填写？,实习经历一般要放在工作经验部分填写，如果实习没有工资可以把工作经验部分改称为职业经历
工作/实习经历,我参加了一个带有实习性质的活动，应该写在活动部分还是工作部分？,如果工作经验足够可以放在活动经验部分，如果工作经验不充分可以把工作经验部分改称为职业经历，然后放到职业经历里面
工作/实习经历,在同一公司不同部门工作过怎么写？,重新写一段经历，不同的bulletin point和时间，同样的公司
工作/实习经历,在同一公司相同部门升职过怎么写？,重新写一段经历，不同的bulletin point和时间和岗位，同样的公司
工作/实习经历,我想把之前公司的 logo 放在简历上可以吗？,不可以，因为没有公司的同意不能用logo，也没有太大意义
工作/实习经历,培训经历可以写在工作经历中吗？,如果培训经历是包含在工作经历里面可以在工作经历中添加1－2个bulletin point形容，如果只是培训没有工作的话可以按照实习方式处理
,,
,,
志愿者经历,如何描述在某个组织的经历？,重点提及领导能力，创新思维，活动／具体成功案例，以及带领了的团队数量
志愿者经历,需要写组织/活动介绍吗？,不需要提及细节，着重量化参加人数，金额，时长，满意度等
志愿者经历,什么样的活动经历值得写在简历上？,你着手操办的，和工作岗位有关的，你提议／策划的，和大公司／项目合作的
志愿者经历,没有任何组织经历怎么办？,可以写简历之前组织一些小型活动，或者可以不提及组织经验，重点讲解工作／硬技能经验
志愿者经历,我参加了一个带有实习性质的活动，应该写在活动部分还是工作部分？,如果工作经验足够可以放在活动经验部分，如果工作经验不充分可以把工作经验部分改称为职业经历，然后放到职业经历里面
,,
,,
专业项目经历,项目经历包括哪些？,学校的项目经历（课程上的），社会中的项目，或者合作program的项目
专业项目经历,需要写项目介绍吗？,如果项目和申请岗位贴合可以写1-2个bulletin point带过，否则不需要仔细介绍
专业项目经历,项目经历该怎么写？,需要提及有关技术运作，成果，所用的软件或者特殊技能，以及监督研究的人的阅历
专业项目经历,什么样的简历要写研究经历？,工作经验不多，社团经验不多，其他相关经验不多的简历，或者工程和数据类的简历
专业项目经历,写研究经历有什么注意事项？,写的研究经历细节尽量偏向工作内容，不要包含无关的技术和细节
专业项目经历,如果发行过出版物，应该怎么展示？,应该放在奖项与作品的部分，或者放在学术背景部分
,,
,,
,,
,,
